日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/05/12,138328672,76325765887,567.00,571.00,518.00,560.00,-11.00,223058
110/05/13,71519430,39495488180,547.00,563.00,541.00,547.00,-13.00,105026
110/05/14,38625148,21474513930,556.00,562.00,552.00,557.00,10.00,52919
110/05/17,58446847,32066868553,544.00,558.00,541.00,549.00,-8.00,76808
110/05/18,44584258,25226153189,563.00,573.00,555.00,572.00,23.00,52152
110/05/19,29610174,16832735286,571.00,572.00,565.00,567.00,-5.00,34443
110/05/20,36605692,20670883290,567.00,571.00,560.00,567.00, 0.00,32301
110/05/21,28009899,16016851343,572.00,577.00,568.00,573.00,6.00,27050
110/05/24,15981036,9090836697,570.00,572.00,566.00,568.00,-5.00,20189
110/05/25,35445350,20525932956,576.00,584.00,573.00,583.00,15.00,39032
110/05/26,19555305,11433686898,587.00,588.00,581.00,585.00,2.00,21034
110/05/27,70061002,40643804852,580.00,582.00,573.00,582.00,-3.00,37545
110/05/28,30720737,18082265480,587.00,592.00,582.00,590.00,8.00,31581
110/05/31,31557426,18751716595,595.00,597.00,590.00,597.00,7.00,29798
110/06/01,18405285,10985893229,598.00,599.00,595.00,598.00,1.00,20318
110/06/02,22416789,13362065937,600.00,600.00,593.00,595.00,-3.00,25170
110/06/03,31703679,18939839664,600.00,600.00,596.00,596.00,1.00,20749
110/06/04,16072580,9521252157,591.00,595.00,590.00,595.00,-1.00,19112
110/06/07,17729179,10471176330,594.00,595.00,583.00,592.00,-3.00,25364
110/06/08,14083552,8312653665,590.00,595.00,588.00,589.00,-3.00,14051
110/06/09,21575159,12618113390,586.00,588.00,583.00,586.00,-3.00,36405
110/06/10,29741770,17696413894,591.00,599.00,587.00,599.00,13.00,30487
110/06/11,24940705,15011140567,602.00,603.00,600.00,602.00,3.00,25271
110/06/15,30245897,18415370774,607.00,609.00,606.00,609.00,7.00,33515
110/06/16,28624508,17401326587,608.00,608.00,605.00,605.00,-4.00,25816
110/06/17,26477032,15924656516,601.00,606.00,598.00,606.00,0.00,21061
110/06/18,42036170,25373026235,608.00,608.00,601.00,603.00,-3.00,16899
110/06/21,47339695,27749202661,590.00,594.00,583.00,583.00,-20.00,109204
110/06/22,30578091,17786329582,585.00,588.00,578.00,578.00,-5.00,56057
110/06/23,36386023,21500052844,583.00,598.00,581.00,595.00,17.00,34454
110/06/24,19322765,11435647488,598.00,598.00,588.00,590.00,-5.00,18494
110/06/25,19140086,11355715486,598.00,598.00,589.00,591.00,1.00,16850
110/06/28,15401977,9056869217,590.00,590.00,586.00,590.00,-1.00,20825
110/06/29,30837548,18350027611,598.00,598.00,591.00,595.00,5.00,24078
110/06/30,34021380,20301841661,599.00,599.00,595.00,595.00, 0.00,20097
110/07/01,18719706,11116195742,596.00,597.00,591.00,593.00,-2.00,20565
110/07/02,19633718,11562140245,590.00,593.00,587.00,588.00,-5.00,24056
110/07/05,30274105,17957255325,588.00,597.00,588.00,591.00,3.00,21836
110/07/06,13830591,8185167307,595.00,596.00,589.00,592.00,1.00,15751
110/07/07,17329148,10250342169,590.00,594.00,588.00,594.00,2.00,18023
110/07/08,21596183,12733045117,595.00,595.00,588.00,588.00,-6.00,23352
110/07/09,30602492,17821338170,582.00,585.00,580.00,584.00,-4.00,51232
110/07/12,33011596,19612592644,595.00,597.00,590.00,593.00,9.00,28636
110/07/13,54894335,33158730436,600.00,608.00,599.00,607.00,14.00,60121
110/07/14,39670241,24276719505,613.00,615.00,608.00,613.00,6.00,43173
110/07/15,23057868,14117908308,613.00,614.00,608.00,614.00,1.00,29913
110/07/16,61882128,36562482701,591.00,595.00,588.00,589.00,-25.00,86192
110/07/19,43248966,25135531384,583.00,584.00,578.00,582.00,-7.00,86753
110/07/20,16352855,9502338666,579.00,584.00,579.00,581.00,-1.00,27956
110/07/21,26476215,15440430690,586.00,586.00,580.00,585.00,4.00,32757
110/07/22,27075950,16014166571,589.00,594.00,587.00,591.00,6.00,23365
110/07/23,15705191,9206201715,592.00,592.00,583.00,585.00,-6.00,23635
110/07/26,22442745,13089591086,591.00,591.00,580.00,580.00,-5.00,37826
110/07/27,18925325,10997959654,581.00,584.00,580.00,580.00, 0.00,20197
110/07/28,39744486,22884618824,576.00,579.00,573.00,579.00,-1.00,75078
110/07/29,25014772,14525643464,585.00,585.00,577.00,583.00,4.00,26868
110/07/30,26141286,15170421873,581.00,582.00,578.00,580.00,-3.00,16353
110/08/02,24948096,14593329483,583.00,590.00,580.00,590.00,10.00,19791
110/08/03,28104984,16655446605,594.00,594.00,590.00,594.00,4.00,20221
110/08/04,23714971,14132827829,598.00,598.00,594.00,596.00,2.00,18228
110/08/05,15673765,9343887536,598.00,598.00,593.00,596.00, 0.00,15495
110/08/06,13994018,8275142201,596.00,596.00,588.00,591.00,-5.00,13742
110/08/09,17611955,10366798182,590.00,595.00,583.00,595.00,4.00,15068
110/08/10,17620825,10435618093,596.00,596.00,589.00,591.00,-4.00,13983
110/08/11,20311399,11943131619,590.00,590.00,585.00,590.00,-1.00,18548
110/08/12,16031265,9383967628,586.00,588.00,584.00,586.00,-4.00,15202
110/08/13,25440973,14769155709,585.00,585.00,579.00,581.00,-5.00,36198
110/08/16,19949389,11612486234,582.00,586.00,578.00,584.00,3.00,17055
110/08/17,31845499,18475506150,580.00,582.00,578.00,580.00,-4.00,19184
110/08/18,47063629,26855353529,568.00,575.00,566.00,574.00,-6.00,86118
110/08/19,42133375,23766228074,573.00,573.00,559.00,559.00,-15.00,119048
110/08/20,47741449,26565551162,560.00,563.00,551.00,552.00,-7.00,72684
110/08/23,34775337,19688362857,560.00,572.00,559.00,566.00,14.00,30421
110/08/24,27397309,15697269609,574.00,575.00,571.00,572.00,6.00,21032
110/08/25,28867651,16769849402,579.00,585.00,574.00,585.00,13.00,29096
110/08/26,45027320,26834160811,601.00,603.00,591.00,594.00,9.00,42735
110/08/27,29459532,17596859741,596.00,600.00,593.00,599.00,5.00,31217
110/08/30,40606821,24425472555,602.00,605.00,599.00,605.00,6.00,43096
110/08/31,58916407,35867753009,604.00,614.00,598.00,614.00,9.00,46791
110/09/01,31242788,19126702297,614.00,614.00,608.00,613.00,-1.00,30125
110/09/02,26715492,16341803689,613.00,615.00,607.00,607.00,-6.00,26153
110/09/03,53915006,33278648609,610.00,620.00,610.00,620.00,13.00,62288
110/09/06,59223061,37250623087,623.00,638.00,621.00,631.00,11.00,77024
110/09/07,27422775,17191259166,634.00,634.00,623.00,623.00,-8.00,29823
110/09/08,38713621,23960375113,622.00,627.00,612.00,619.00,-4.00,38267
110/09/09,19309522,11886107760,612.00,620.00,610.00,619.00, 0.00,19569
110/09/10,16740439,10365721937,615.00,623.00,614.00,622.00,3.00,17067
110/09/13,15809768,9734528161,619.00,620.00,613.00,615.00,-7.00,21779
110/09/14,16024935,9849961184,618.00,618.00,612.00,613.00,-2.00,13569
110/09/15,26041452,15872971715,610.00,613.00,607.00,607.00,-6.00,24839
110/09/16,23315040,14030697248,603.00,607.00,599.00,600.00,0.00,31437
110/09/17,42383815,25510152115,600.00,610.00,599.00,600.00, 0.00,18681
110/09/22,42732169,25056693727,586.00,589.00,583.00,586.00,-14.00,70389
110/09/23,22736266,13406035166,588.00,593.00,588.00,588.00,2.00,22991
110/09/24,17302848,10289114839,591.00,598.00,590.00,598.00,10.00,15796
110/09/27,20034221,11993300562,600.00,602.00,593.00,602.00,4.00,16349
110/09/28,17325896,10291543822,595.00,596.00,592.00,594.00,-8.00,16496
110/09/29,51834124,30040354500,580.00,583.00,577.00,580.00,-14.00,95024
110/09/30,36318623,21054651328,580.00,585.00,575.00,580.00, 0.00,32973
110/10/01,39006124,22368447571,579.00,579.00,571.00,574.00,-6.00,78088
110/10/04,22288138,12741914919,574.00,575.00,569.00,572.00,-2.00,42147
110/10/05,36063650,20406526124,562.00,572.00,560.00,572.00, 0.00,56678
110/10/06,33989379,19345468774,573.00,574.00,565.00,571.00,-1.00,53606
110/10/07,28480400,16458019782,575.00,582.00,572.00,580.00,9.00,23304
110/10/08,22601904,13051944932,582.00,583.00,573.00,575.00,-5.00,24157
110/10/12,27126088,15455194493,570.00,575.00,564.00,575.00, 0.00,32210
110/10/13,19267437,11006807040,572.00,575.00,570.00,571.00,-4.00,18050
110/10/14,14270641,8213170376,579.00,579.00,573.00,573.00,2.00,14814
110/10/15,55305252,32878638999,592.00,600.00,586.00,600.00,27.00,61088
110/10/18,19753943,11802365489,604.00,604.00,590.00,590.00,-10.00,21353
110/10/19,18709936,11196540994,598.00,600.00,593.00,600.00,10.00,20482
110/10/20,17537878,10527701553,603.00,604.00,597.00,598.00,-2.00,16410
110/10/21,16882324,10116911921,602.00,603.00,595.00,596.00,-2.00,17599
110/10/22,14236279,8520299817,600.00,602.00,594.00,600.00,4.00,12812
110/10/25,17724968,10518554968,597.00,597.00,590.00,593.00,-7.00,16139
110/10/26,27047187,16169131795,595.00,600.00,593.00,599.00,6.00,13081
110/10/27,16260278,9708715733,598.00,599.00,594.00,599.00, 0.00,12042
110/10/28,16927154,10066068774,598.00,598.00,591.00,595.00,-4.00,15065
110/10/29,27684673,16352758906,595.00,596.00,589.00,590.00,-5.00,19937
110/11/01,17110357,10107402871,591.00,593.00,590.00,590.00, 0.00,13798
110/11/02,16544999,9808608554,594.00,597.00,590.00,592.00,2.00,11662
110/11/03,11404984,6773439607,597.00,597.00,592.00,592.00, 0.00,8934
110/11/04,18888245,11112246412,592.00,594.00,585.00,587.00,-5.00,22171
110/11/05,35086799,20974569571,598.00,600.00,595.00,600.00,13.00,31929
110/11/08,20886897,12544595323,600.00,602.00,598.00,602.00,2.00,17964
110/11/09,42340785,25935652781,611.00,617.00,610.00,611.00,9.00,42855
110/11/10,18518512,11303615778,611.00,612.00,608.00,612.00,1.00,19147
110/11/11,20257792,12225622771,600.00,606.00,600.00,606.00,-6.00,16140
110/11/12,21373014,12801799429,610.00,611.00,602.00,604.00,-2.00,13869
110/11/15,17140935,10434209332,609.00,611.00,607.00,608.00,4.00,13140
110/11/16,21776308,13285168416,612.00,612.00,608.00,610.00,2.00,14487
110/11/17,21829653,13330782804,615.00,615.00,608.00,610.00, 0.00,14807
110/11/18,22933191,14019057524,613.00,614.00,607.00,613.00,3.00,15913
110/11/19,38847820,24047156185,622.00,623.00,617.00,618.00,5.00,32179
110/11/22,23296854,14354639781,618.00,618.00,615.00,615.00,-3.00,14108
110/11/23,20022520,12266300247,615.00,615.00,611.00,612.00,-3.00,15011
110/11/24,22978524,13904268592,612.00,612.00,602.00,603.00,-9.00,23584
110/11/25,14171433,8551663451,605.00,607.00,601.00,603.00, 0.00,14137
110/11/26,27882175,16609442268,598.00,601.00,592.00,596.00,-7.00,47638
110/11/29,24160615,14360266132,594.00,598.00,591.00,593.00,-3.00,23653
110/11/30,69160408,41208103150,597.00,600.00,591.00,596.00,3.00,24427
110/12/01,30119408,18021861252,596.00,603.00,594.00,600.00,4.00,15695
110/12/02,48720976,29780012954,605.00,615.00,602.00,615.00,15.00,40629
110/12/03,27571974,16798271782,614.00,614.00,606.00,608.00,-7.00,16197
110/12/06,24474913,14740969839,603.00,609.00,600.00,600.00,-8.00,19139
110/12/07,21105883,12704452330,602.00,607.00,597.00,607.00,7.00,22160
110/12/08,22194708,13490034097,614.00,614.00,602.00,602.00,-5.00,15634
110/12/09,12467833,7554386680,606.00,608.00,602.00,608.00,6.00,9231
110/12/10,11371659,6874539365,605.00,608.00,602.00,605.00,-3.00,9215
110/12/13,17994933,10887156003,609.00,610.00,601.00,601.00,-4.00,12503
110/12/14,22997961,13757424386,598.00,600.00,597.00,599.00,-2.00,21324
110/12/15,22419040,13420958112,597.00,601.00,596.00,600.00,1.00,19195
110/12/16,22151282,13370280179,605.00,605.00,601.00,605.00,0.00,15515
110/12/17,30319495,18339763894,601.00,607.00,599.00,607.00,2.00,11667
110/12/20,22381761,13446342438,607.00,607.00,598.00,598.00,-9.00,18943
110/12/21,17669559,10560361874,597.00,600.00,595.00,597.00,-1.00,17336
110/12/22,10127887,6067689422,598.00,601.00,598.00,600.00,3.00,8238
110/12/23,16910501,10238270336,607.00,608.00,602.00,606.00,6.00,12888
110/12/24,12008673,7276331245,606.00,609.00,604.00,604.00,-2.00,10444
110/12/27,16771900,10193462167,604.00,610.00,604.00,606.00,2.00,16637
110/12/28,35156339,21569506434,610.00,615.00,610.00,615.00,9.00,36241
110/12/29,25604320,15788043027,615.00,619.00,614.00,616.00,1.00,28804
110/12/30,20522055,12654016133,619.00,620.00,615.00,615.00,-1.00,15565
111/01/03,73703302,46249716919,619.00,632.00,618.00,631.00,16.00,88508
111/01/04,90945643,59188199534,645.00,656.00,644.00,656.00,25.00,106409
111/01/05,72505550,47582832784,669.00,669.00,646.00,650.00,-6.00,64712
111/01/06,57490736,36817638522,638.00,646.00,636.00,644.00,-6.00,53430
111/01/07,39847766,25358237656,643.00,646.00,632.00,634.00,-10.00,44497
111/01/10,39286754,25052138297,628.00,645.00,627.00,643.00,9.00,33453
111/01/11,36186544,23361588355,646.00,651.00,639.00,651.00,8.00,26849
111/01/12,40832298,26762357054,657.00,660.00,650.00,660.00,9.00,39164
111/01/13,39172028,25813559647,658.00,662.00,655.00,661.00,1.00,34355
111/01/14,98768193,66094477906,673.00,673.00,661.00,672.00,11.00,83211
111/01/17,63828552,43615303577,685.00,688.00,678.00,683.00,11.00,61981
111/01/18,48802321,32742176854,678.00,681.00,662.00,662.00,-21.00,65357
111/01/19,44092247,28859030269,652.00,660.00,651.00,654.00,-8.00,50763
111/01/20,48996473,31893527292,650.00,657.00,646.00,651.00,-3.00,39346
111/01/21,53966101,34642476570,644.00,646.00,637.00,641.00,-10.00,66088
111/01/24,48665203,31412475591,639.00,655.00,637.00,653.00,12.00,36231
111/01/25,53927064,34582254327,643.00,645.00,638.00,641.00,-12.00,56698
111/01/26,33093553,21089251429,635.00,641.00,635.00,636.00,-5.00,35647
111/02/07,64637049,41221401027,644.00,644.00,631.00,635.00,-1.00,43774
111/02/08,43786259,27805114442,645.00,645.00,628.00,628.00,-7.00,40026
111/02/09,33633394,21289086984,635.00,637.00,630.00,633.00,5.00,29746
111/02/10,37388892,24028303016,639.00,649.00,637.00,649.00,16.00,28452
111/02/11,28194682,18225628338,646.00,650.00,642.00,650.00,1.00,21995
111/02/14,39394670,25104180949,640.00,641.00,635.00,637.00,-13.00,33928
111/02/15,24497955,15556533655,633.00,639.00,633.00,633.00,-4.00,31907
111/02/16,27395771,17635435307,645.00,646.00,640.00,646.00,13.00,23136
111/02/17,20447347,13171026165,644.00,646.00,641.00,645.00,-1.00,16116
111/02/18,21948975,13997433486,638.00,639.00,636.00,637.00,-8.00,23892
111/02/21,25769408,16320629980,633.00,636.00,632.00,632.00,-5.00,41961
111/02/22,38526210,24153923316,628.00,630.00,625.00,627.00,-5.00,68303
111/02/23,34561338,21606428438,624.00,629.00,623.00,625.00,-2.00,50926
111/02/24,80672979,49358065299,618.00,619.00,604.00,604.00,-21.00,188248
111/02/25,94155943,56880320916,600.00,609.00,600.00,604.00, 0.00,129776
111/03/01,70303880,42445208215,599.00,610.00,599.00,604.00, 0.00,67439
111/03/02,42428151,25528700277,601.00,605.00,600.00,601.00,-3.00,58916
111/03/03,37103932,22373890387,603.00,607.00,601.00,602.00,1.00,65410
111/03/04,65235167,38833099256,595.00,597.00,592.00,595.00,-7.00,206731
111/03/07,97167600,56147025127,580.00,581.00,575.00,576.00,-19.00,297917
111/03/08,88371413,49908147901,561.00,570.00,561.00,563.00,-13.00,269695
111/03/09,57512412,32761408119,567.00,573.00,567.00,568.00,5.00,112422
111/03/10,49092145,28798814637,585.00,589.00,582.00,587.00,19.00,71569
111/03/11,42981381,24820833930,581.00,582.00,574.00,575.00,-12.00,112158
111/03/14,38562552,22131365409,574.00,577.00,572.00,572.00,-3.00,87337
111/03/15,84338792,47191728965,562.00,563.00,558.00,558.00,-14.00,277901
111/03/16,50764807,28345633852,564.00,565.00,555.00,558.00,0.00,110732
111/03/17,65820899,38121960334,578.00,583.00,575.00,582.00,24.00,65468
111/03/18,49583448,28771454221,582.00,582.00,576.00,581.00,-1.00,39576
111/03/21,22800165,13363354969,583.00,589.00,583.00,586.00,5.00,32617
111/03/22,23421124,13613967252,577.00,586.00,577.00,583.00,-3.00,27371
111/03/23,27475008,16177424772,590.00,590.00,586.00,590.00,7.00,30970
111/03/24,20769676,12232627003,587.00,592.00,585.00,591.00,1.00,21647
111/03/25,26794684,15984831591,597.00,598.00,595.00,598.00,7.00,29896
111/03/28,27954730,16298449416,581.00,586.00,580.00,584.00,-14.00,54537
111/03/29,15742359,9243985774,586.00,589.00,584.00,589.00,5.00,21222
111/03/30,43256548,25908489513,599.00,600.00,597.00,600.00,11.00,48535
111/03/31,25130417,15014260610,602.00,602.00,594.00,597.00,-3.00,18860
111/04/01,31247086,18328227645,585.00,589.00,584.00,589.00,-8.00,53178
111/04/06,40726932,23547636944,578.00,580.00,575.00,578.00,-11.00,62822
111/04/07,47212937,26881649976,571.00,573.00,566.00,566.00,-12.00,130552
111/04/08,31406384,17821660486,567.00,570.00,566.00,567.00,1.00,75778
111/04/11,41713758,23401330531,563.00,566.00,558.00,558.00,-9.00,130731
111/04/12,34799056,19418030839,554.00,564.00,552.00,557.00,-1.00,69280
111/04/13,36968137,21134384849,564.00,576.00,563.00,573.00,16.00,41249
111/04/14,20224847,11618596373,577.00,578.00,573.00,573.00, 0.00,27442
111/04/15,33158930,18667922752,562.00,566.00,561.00,562.00,-11.00,99936
111/04/18,16579296,9311198146,559.00,566.00,558.00,561.00,-1.00,31712
111/04/19,18811242,10639032272,566.00,569.00,563.00,565.00,4.00,24598
111/04/20,28240222,16016967192,570.00,570.00,562.00,570.00,5.00,28615
111/04/21,21539083,12221437009,571.00,571.00,565.00,565.00,-5.00,28847
111/04/22,35567672,19849449551,558.00,559.00,557.00,558.00,-7.00,81550
111/04/25,49067362,26907070565,550.00,552.00,546.00,547.00,-11.00,165619
111/04/26,39549934,21628474846,550.00,551.00,544.00,546.00,-1.00,90252
111/04/27,65034122,34416315121,530.00,532.00,526.00,526.00,-20.00,217895
111/04/28,50406145,26653291522,530.00,532.00,523.00,531.00,5.00,79897
111/04/29,39960198,21586196160,547.00,547.00,535.00,538.00,7.00,41498
111/05/03,29502561,15790689728,538.00,540.00,530.00,531.00,-7.00,48050
111/05/04,17305449,9229779558,533.00,537.00,530.00,534.00,3.00,27460
111/05/05,22540182,12209716759,543.00,544.00,539.00,542.00,8.00,26904
111/05/06,34512038,18241210653,528.00,531.00,526.00,528.00,-14.00,66208
111/05/09,27309304,14249571058,523.00,524.00,520.00,520.00,-8.00,82004
111/05/10,44322247,22673191861,506.00,519.00,505.00,518.00,-2.00,83371
111/05/11,28109896,14662149551,518.00,526.00,518.00,521.00,3.00,40227
111/05/12,35824788,18310112210,516.00,518.00,505.00,505.00,-16.00,107513
111/05/13,30204773,15412261905,507.00,514.00,506.00,511.00,6.00,37707
111/05/16,22012610,11472463517,521.00,524.00,518.00,520.00,9.00,30034
111/05/17,25812051,13627135311,521.00,533.00,520.00,530.00,10.00,30826
111/05/18,33605299,18075946322,541.00,541.00,534.00,538.00,8.00,34913
111/05/19,40798132,21322524192,523.00,527.00,520.00,522.00,-16.00,47232
111/05/20,26111163,13784969436,524.00,532.00,523.00,530.00,8.00,21767
111/05/23,18919447,10040778291,533.00,534.00,528.00,528.00,-2.00,18775
111/05/24,19130619,10036942322,530.00,531.00,520.00,520.00,-8.00,31716
111/05/25,22460245,11782306905,522.00,529.00,520.00,524.00,4.00,18352
111/05/26,31542825,16336162581,523.00,525.00,513.00,514.00,-10.00,72846
111/05/27,30113220,15855257581,524.00,530.00,522.00,530.00,16.00,28711
111/05/30,36480411,19757635264,538.00,547.00,537.00,547.00,17.00,42797
111/05/31,81962870,45507333341,542.00,560.00,540.00,560.00,13.00,34286
111/06/01,32970903,18171598472,550.00,555.00,548.00,549.00,-11.00,33456
111/06/02,26063495,14122936388,544.00,545.00,540.00,540.00,-9.00,30042
111/06/06,23732327,12843324209,541.00,544.00,538.00,540.00, 0.00,16614
111/06/07,22152512,11846386906,535.00,538.00,532.00,535.00,-5.00,28586
111/06/08,19609522,10636701303,539.00,545.00,538.00,544.00,9.00,18487
111/06/09,16894479,9115934006,538.00,542.00,537.00,541.00,-3.00,18802
111/06/10,22614596,12011615014,530.00,533.00,529.00,530.00,-11.00,44802
111/06/13,36758925,18998155460,518.00,519.00,515.00,516.00,-14.00,112023
111/06/14,38838778,19813036892,507.00,514.00,507.00,513.00,-3.00,85483
111/06/15,38360508,19580150319,508.00,515.00,508.00,509.00,-4.00,72687
111/06/16,31908028,16331470764,515.00,516.00,507.00,508.00,0.00,42177
111/06/17,48400798,24260277915,499.50,503.00,499.00,501.00,-7.00,119618
111/06/20,36664463,18267359790,500.00,502.00,495.00,498.00,-3.00,89541
111/06/21,34432537,17298234720,501.00,505.00,499.00,505.00,7.00,32427
111/06/22,33438921,16630857096,501.00,503.00,494.50,494.50,-10.50,81024
111/06/23,46808462,22836692325,492.00,493.50,485.00,485.50,-9.00,104661
111/06/24,29003676,14184287155,489.50,492.50,485.50,486.50,1.00,43609
111/06/27,38684368,19379396938,496.00,506.00,495.50,498.50,12.00,37438
111/06/28,16867955,8392290378,496.00,500.00,496.00,497.50,-1.00,18988
111/06/29,33124986,16352376816,496.00,498.50,491.00,491.00,-6.50,40024
